what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1656305740930
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1656305740952
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1656305740962
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1656305740972
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1656305740972
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1656305740992
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1656305741004
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1656305741024
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1656305741043
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1656305741065
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1656305741077
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1656305741098
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1656305741132
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1656305741142
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1656305741152
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1656305741179
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1656305741201
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1656305741224
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1656305741235
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1656305741246
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1656305741246
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1656305741266
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1656305741281
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1656305741302
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1656305741322
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1656305741332
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1656305741352
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1656305741374
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1656305741378
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1656305741419
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1656305741432
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1656305741441
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1656305741463
os,sysinfo,,,"win32",1656305741464
arch,sysinfo,,,"x86",1656305741464
ws,sysinfo,,,"win32",1656305741464
locale,sysinfo,,,"en_US",1656305741464
processors,sysinfo,,,"8",1656305741464
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1656305741464
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1656305741464
java.specification.name,sysinfo,,,"Java Platform API Specification",1656305741464
java.specification.vendor,sysinfo,,,"Oracle Corporation",1656305741464
java.specification.version,sysinfo,,,"1.7",1656305741464
java.vendor,sysinfo,,,"Oracle Corporation",1656305741464
java.version,sysinfo,,,"1.7.0_02",1656305741464
java.vm.info,sysinfo,,,"mixed mode, sharing",1656305741464
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1656305741464
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1656305741464
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1656305741464
java.vm.specification.version,sysinfo,,,"1.7",1656305741464
java.vm.vendor,sysinfo,,,"Oracle Corporation",1656305741464
java.vm.version,sysinfo,,,"22.0-b10",1656305741464
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1656305742631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305744342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305746584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305750373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305903033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305908619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305977870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305979155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305982333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656305988036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306111899
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1656306116659
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1656306116750
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1656306116933
started,bundle,com.sysdeo.eclipse.tomcat,3.3.0,"com.sysdeo.eclipse.tomcat",1656306119819
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1656306120348
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1656306120668
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1656306121594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306131590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306236274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306240497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306258787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306261684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306286570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306292814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306320221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306320378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306322017
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1656306322490
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1656306323642
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1656306339225
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1656306339228
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1656306339229
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1656306339230
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1656306339231
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1656306339232
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1656306339233
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1656306339234
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1656306339235
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1656306339236
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1656306339237
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1656306339239
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1656306339240
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1656306339241
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1656306339242
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1656306339243
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1656306339244
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1656306339245
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1656306339246
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1656306339247
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1656306339247
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1656306339248
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1656306339249
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1656306339250
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1656306339251
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1656306339252
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1656306339254
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1656306339254
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1656306339255
